Stock_Name,Ticker,Type,Unit,Model,Folds,MAPE (mean ± std),MAE (mean ± std),RMSE (mean ± std),MAPE_mean,MAPE_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std
KYE,KYE.BK,Stock,THB,LSTM,7,2.57 ± 2.22,7.9978 ± 7.0809,8.6509 ± 7.7084,2.5678,2.2239,7.9978,7.0809,8.6509,7.7084
KYE,KYE.BK,Stock,THB,ANN,7,20.97 ± 2.43,63.8712 ± 6.6299,65.1674 ± 6.8456,20.9749,2.4299,63.8712,6.6299,65.1674,6.8456
MCS,MCS.BK,Stock,THB,ARIMA,7,2.46 ± 1.57,0.2038 ± 0.1246,0.2457 ± 0.1528,2.4565,1.5738,0.2038,0.1246,0.2457,0.1528
MCS,MCS.BK,Stock,THB,XGBoost,7,3.18 ± 1.58,0.266 ± 0.1315,0.3118 ± 0.158,3.1837,1.5759,0.266,0.1315,0.3118,0.158
MCS,MCS.BK,Stock,THB,Random Forest,7,3.22 ± 2.41,0.2698 ± 0.2037,0.3093 ± 0.2193,3.2209,2.4067,0.2698,0.2037,0.3093,0.2193
MCS,MCS.BK,Stock,THB,RNN,7,3.98 ± 3.07,0.3398 ± 0.2718,0.3789 ± 0.2917,3.9807,3.0694,0.3398,0.2718,0.3789,0.2917
MCS,MCS.BK,Stock,THB,CNN,7,4.82 ± 2.47,0.4103 ± 0.2248,0.4514 ± 0.2218,4.8194,2.4702,0.4103,0.2248,0.4514,0.2218
MCS,MCS.BK,Stock,THB,LSTM,7,4.89 ± 3.32,0.4182 ± 0.2954,0.4622 ± 0.2889,4.8949,3.3207,0.4182,0.2954,0.4622,0.2889
MCS,MCS.BK,Stock,THB,ANN,7,19.57 ± 5.75,1.6169 ± 0.488,1.6608 ± 0.4974,19.5651,5.7495,1.6169,0.488,1.6608,0.4974
NATION,NATION.BK,Stock,THB,Random Forest,7,18.57 ± 3.55,0.0047 ± 0.0013,0.0055 ± 0.0017,18.5663,3.5475,0.0047,0.0013,0.0055,0.0017
NATION,NATION.BK,Stock,THB,CNN,7,18.98 ± 5.2,0.0049 ± 0.0018,0.0056 ± 0.0022,18.9771,5.1973,0.0049,0.0018,0.0056,0.0022
NATION,NATION.BK,Stock,THB,XGBoost,7,19.1 ± 2.21,0.0047 ± 0.001,0.0059 ± 0.001,19.1011,2.2137,0.0047,0.001,0.0059,0.001
NATION,NATION.BK,Stock,THB,ARIMA,7,19.26 ± 4.33,0.0048 ± 0.0013,0.0051 ± 0.0017,19.2626,4.327,0.0048,0.0013,0.0051,0.0017
NATION,NATION.BK,Stock,THB,LSTM,7,22.28 ± 3.07,0.0053 ± 0.0004,0.0056 ± 0.0009,22.2752,3.0701,0.0053,0.0004,0.0056,0.0009
NATION,NATION.BK,Stock,THB,RNN,7,23.37 ± 7.87,0.0059 ± 0.0025,0.0069 ± 0.0028,23.3698,7.8677,0.0059,0.0025,0.0069,0.0028
NATION,NATION.BK,Stock,THB,ANN,7,122.22 ± 25.52,0.0274 ± 0.0035,0.028 ± 0.0033,122.2218,25.5186,0.0274,0.0035,0.028,0.0033
PT,PT.BK,Stock,THB,ARIMA,7,1.96 ± 0.81,0.2486 ± 0.1094,0.2924 ± 0.1355,1.9587,0.8117,0.2486,0.1094,0.2924,0.1355
PT,PT.BK,Stock,THB,Random Forest,7,2.72 ± 1.3,0.3381 ± 0.1564,0.4042 ± 0.1869,2.7206,1.3009,0.3381,0.1564,0.4042,0.1869
PT,PT.BK,Stock,THB,CNN,7,2.92 ± 1.22,0.3642 ± 0.1498,0.4189 ± 0.1648,2.9249,1.2176,0.3642,0.1498,0.4189,0.1648
PT,PT.BK,Stock,THB,RNN,7,3.21 ± 0.99,0.4016 ± 0.1284,0.4585 ± 0.1449,3.2051,0.9879,0.4016,0.1284,0.4585,0.1449
PT,PT.BK,Stock,THB,XGBoost,7,3.5 ± 2.18,0.4324 ± 0.2551,0.4969 ± 0.2706,3.5038,2.184,0.4324,0.2551,0.4969,0.2706
PT,PT.BK,Stock,THB,LSTM,7,3.52 ± 1.73,0.4434 ± 0.23,0.4754 ± 0.2442,3.5159,1.7341,0.4434,0.23,0.4754,0.2442
PT,PT.BK,Stock,THB,ANN,7,21.56 ± 3.12,2.6894 ± 0.4047,2.7562 ± 0.3968,21.5614,3.1232,2.6894,0.4047,2.7562,0.3968
S11,S11.BK,Stock,THB,ARIMA,7,4.24 ± 2.23,0.1353 ± 0.0757,0.1623 ± 0.0981,4.2381,2.231,0.1353,0.0757,0.1623,0.0981
S11,S11.BK,Stock,THB,Random Forest,7,5.15 ± 2.83,0.1607 ± 0.0915,0.1851 ± 0.1093,5.1495,2.8267,0.1607,0.0915,0.1851,0.1093
S11,S11.BK,Stock,THB,XGBoost,7,5.67 ± 2.66,0.1791 ± 0.0903,0.2041 ± 0.113,5.6741,2.6637,0.1791,0.0903,0.2041,0.113
S11,S11.BK,Stock,THB,RNN,7,6.04 ± 4.06,0.1932 ± 0.1351,0.2207 ± 0.1494,6.0377,4.0552,0.1932,0.1351,0.2207,0.1494
S11,S11.BK,Stock,THB,LSTM,7,7.49 ± 2.36,0.2367 ± 0.0825,0.2588 ± 0.0966,7.4896,2.355,0.2367,0.0825,0.2588,0.0966
S11,S11.BK,Stock,THB,CNN,7,7.54 ± 2.71,0.2422 ± 0.092,0.2678 ± 0.0932,7.5351,2.7147,0.2422,0.092,0.2678,0.0932
S11,S11.BK,Stock,THB,ANN,7,14.11 ± 8.44,0.4321 ± 0.2533,0.4559 ± 0.2575,14.1131,8.4358,0.4321,0.2533,0.4559,0.2575
SET,^SET.BK,Index,points,CNN,7,1.55 ± 1.43,18.3772 ± 17.1864,19.6538 ± 17.7598,1.5541,1.4292,18.3772,17.1864,19.6538,17.7598
SET,^SET.BK,Index,points,Random Forest,7,1.6 ± 1.12,18.827 ± 13.101,20.6242 ± 13.3413,1.6036,1.1168,18.827,13.101,20.6242,13.3413
SET,^SET.BK,Index,points,XGBoost,7,1.89 ± 1.59,22.0709 ± 18.2366,23.4543 ± 18.4266,1.8899,1.5936,22.0709,18.2366,23.4543,18.4266
