Ticker,Composite_Z,Classification,Name,Company Name,Industry,SET ESG Ratings 
BAREIT.BK,0.2564653485059648,Neutral,BAREIT,,,
BAY.BK,-0.3978927090806861,Exit Point,BAY,BANK OF AYUDHYA PUBLIC COMPANY LIMITED,Financials,AAA
BBGI.BK,-0.1711156470171493,Exit Point,BBGI,BBGI PUBLIC COMPANY LIMITED,Resources,AA
BBIK.BK,-0.3738881078138381,Exit Point,BBIK,,,
BBL.BK,0.1131985056327728,Neutral,BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,Financials,AAA
BC.BK,0.1605131481759361,Neutral,BC,,,
BCH.BK,0.2068847720542505,Neutral,BCH,BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED,Services,AA
BCP.BK,0.4110206146722506,Neutral,BCP,,,
BCPG.BK,0.6261840484592179,Neutral,BCPG,BCPG PUBLIC COMPANY LIMITED,Resources,AAA
BCT.BK,-0.2698859137533285,Exit Point,BCT,,,
BDMS.BK,-0.1302226777458763,Exit Point,BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,Services,A
BE8.BK,-0.3472800069434356,Exit Point,BE8,,,
BEAUTY.BK,0.1911475954667685,Neutral,BEAUTY,,,
BEC.BK,0.320060317133506,Neutral,BEC,,,
BEM.BK,-0.6199652434529402,Exit Point,BEM,BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED,Services,AAA
BEYOND.BK,-0.0689873110206969,Neutral,BEYOND,,,
BGC.BK,-0.945531854366528,Exit Point,BGC,BG CONTAINER GLASS PUBLIC COMPANY LIMITED,Industrials,AAA
BGRIM.BK,-0.5672164101213805,Exit Point,BGRIM,B.GRIMM POWER PUBLIC COMPANY LIMITED,Resources,AAA
BGT.BK,-0.0200721021498879,Neutral,BGT,,,
BH.BK,-0.5192691492174614,Exit Point,BH,,,
BIG.BK,0.4204048089560775,Neutral,BIG,,,
BIOTEC.BK,0.2746017701785445,Neutral,BIOTEC,,,
BIS.BK,0.1049531484681261,Neutral,BIS,,,
BIZ.BK,0.3767865602940389,Neutral,BIZ,,,
BJC.BK,0.1225020769590948,Neutral,BJC,BERLI JUCKER PUBLIC COMPANY LIMITED,Services,AA
BJCHI.BK,-0.0269632583022115,Neutral,BJCHI,,,
BKD.BK,0.0051834706329656,Neutral,BKD,,,
BKGI.BK,-0.0883052955432789,Neutral,BKGI,,,
BKIH.BK,0.2248191546101764,Neutral,BKIH,BKI HOLDINGS PUBLIC COMPANY LIMITED,Financials,AAA
BLA.BK,-0.2980506706474523,Exit Point,BLA,BANGKOK LIFE ASSURANCE PUBLIC COMPANY LIMITED,Financials,AA
BLAND.BK,-0.0282205635625024,Neutral,BLAND,,,
BLC.BK,0.3100063591719674,Neutral,BLC,BANGKOK LAB AND COSMETIC PUBLIC COMPANY LIMITED,Consumer Products,BBB
BLESS.BK,0.1771771088912231,Neutral,BLESS,,,
BLISS.BK,0.0226114715640208,Neutral,BLISS,,,
BM.BK,-1.107574060677648,Exit Point,BM,,,
BOFFICE.BK,0.0762579466841432,Neutral,BOFFICE,,,
BOL.BK,0.2056183804263439,Neutral,BOL,,,
BPP.BK,-0.4184002348930223,Exit Point,BPP,BANPU POWER PUBLIC COMPANY LIMITED,Resources,AAA
BPS.BK,0.3422045772784437,Neutral,BPS,,,
BR.BK,-0.4370534388614592,Exit Point,BR,,,
BRI.BK,-0.5777606948189317,Exit Point,BRI,BRITANIA PUBLIC COMPANY LIMITED,Property & Construction,AA
BROCK.BK,0.4927740660505636,Neutral,BROCK,,,
BRR.BK,0.2956229051709226,Neutral,BRR,,,
BRRGIF.BK,0.0372003826780802,Neutral,BRRGIF,,,
BSBM.BK,0.0616874116536877,Neutral,BSBM,,,
BSM.BK,-0.3467332753142559,Exit Point,BSM,,,
BSRC.BK,-0.3713733541859804,Exit Point,BSRC,,,
BTC.BK,-0.2026745936560098,Exit Point,BTC,,,
BTG.BK,0.7248638781185676,Neutral,BTG,BETAGRO PUBLIC COMPANY LIMITED,Agro & Food Industry,AAA
BTNC.BK,0.0176139583206164,Neutral,BTNC,,,
BTS.BK,-0.1148503290643472,Exit Point,BTS,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,Services,AA
BTSGIF.BK,-0.1744826295018757,Exit Point,BTSGIF,,,
BTW.BK,0.1311964544508753,Neutral,BTW,,,
BUI.BK,0.1453676480532876,Neutral,BUI,,,
BVG.BK,-0.5626188913779082,Exit Point,BVG,,,
BWG.BK,-0.208328278627607,Exit Point,BWG,,,
BYD.BK,0.00040464420391,Neutral,BYD,,,
CAZ.BK,0.0342162789696596,Neutral,CAZ,,,
CBG.BK,-0.2048200688845046,Exit Point,CBG,CARABAO GROUP PUBLIC COMPANY LIMITED,Agro & Food Industry,AA
CCET.BK,-0.1927007550929615,Exit Point,CCET,,,
CCP.BK,-0.1183863915031328,Exit Point,CCP,,,
CEN.BK,-0.9258759480541606,Exit Point,CEN,,,
