,Sharpe,Sortino_RF,Sortino_DTR,Alpha,Beta,Max_Drawdown,Calmar_Ratio,CAGR_YTD,Composite_Z
count,911.0,911.0,911.0,755.0,755.0,911.0,911.0,920.0,920.0
mean,-0.9324545900161599,-1.2080966819160976,-1.2085786639706404,-28.458592656175128,-0.7766555524709977,-361648.3280057259,-5.312367964429074,-0.09225345802607357,0.0023763207909405274
std,1.28849230273009,1.8131617855210902,1.8131668431938872,282.9649829179623,26.770022455826492,9037984.312344665,12.977447573356216,6.356535294992558,0.5639532297340477
min,-8.062296430756517,-8.773655541881123,-8.774478749447525,-2944.021280719827,-720.313725490196,-272099854.99911547,-106.12014028783985,-0.9998956806000142,-4.280333647334819
25%,-1.6993369139057717,-2.3680067804331375,-2.3685602212509274,-99.42732399489051,-0.14454656862745094,-456.2986341882331,-4.099891511979763,-0.5733264823292437,-0.25372341681000665
50%,-0.8452529223460576,-1.1854645161872188,-1.1867502462313082,-31.328696525505883,0.0012254901960784,-50.97497968806584,-0.4457730654152956,-0.34527332617528417,0.0177945922456395
75%,-0.0737295651648125,-0.09309351141837345,-0.09367811884247429,27.815498151137227,0.15931372549019607,-5.9186438494662585,-0.00053990692352415,-0.10715995688686783,0.29303254193829564
max,4.449308088075597,10.662341653308332,10.662138686183154,4028.377075786576,107.92156862745098,-1.0,43.16259027830059,192.0563325633492,8.223237075258066
